1.229,659367,,1st column ,Thrust (lbf)
1.165,659383,,2nd column,Time (ms)
1.229,659398,,,
1.165,659414,,,
1.165,659429,,,
1.165,659445,,,
1.165,659461,,,
1.165,659476,,,
1.229,659492,,,
1.165,659507,,,
1.229,659523,,,
1.165,659539,,,
1.165,659554,,,
1.165,659570,,,
1.165,659585,,,
1.165,659601,,,
1.165,659617,,,
1.165,659632,,,
1.165,659648,,,
1.165,659663,,,
1.165,659679,,,
1.165,659695,,,
1.229,659710,,,
1.229,659726,,,
1.165,659741,,,
1.165,659757,,,
1.165,659773,,,
1.165,659788,,,
1.1,659804,,,
1.229,659819,,,
1.229,659835,,,
1.165,659851,,,
1.229,659866,,,
1.165,659882,,,
1.165,659897,,,
1.165,659913,,,
1.229,659929,,,
1.229,659944,,,
1.165,659960,,,
1.229,659975,,,
1.165,659991,,,
1.229,660007,,,
1.165,660022,,,
1.165,660038,,,
1.165,660053,,,
1.165,660069,,,
1.165,660085,,,
1.165,660100,,,
1.165,660116,,,
1.229,660131,,,
1.229,660147,,,
1.165,660163,,,
1.165,660178,,,
1.165,660194,,,
1.229,660209,,,
1.165,660225,,,
1.229,660241,,,
1.165,660256,,,
1.165,660272,,,
1.165,660287,,,
1.165,660303,,,
1.229,660319,,,
1.229,660334,,,
1.229,660350,,,
1.165,660365,,,
1.165,660381,,,
1.165,660397,,,
1.229,660412,,,
1.165,660428,,,
1.165,660443,,,
1.165,660459,,,
1.165,660475,,,
1.165,660490,,,
1.165,660506,,,
1.165,660521,,,
1.165,660537,,,
1.165,660553,,,
1.165,660568,,,
1.165,660584,,,
1.165,660599,,,
1.165,660615,,,
1.165,660631,,,
1.165,660646,,,
1.165,660662,,,
1.165,660677,,,
1.165,660693,,,
1.165,660709,,,
1.165,660724,,,
1.229,660740,,,
1.229,660755,,,
1.165,660771,,,
1.165,660787,,,
1.165,660802,,,
1.165,660818,,,
1.229,660833,,,
1.165,660849,,,
1.165,660865,,,
1.229,660880,,,
2.2,660896,,,
5.694,660911,,,
8.347,660927,,,
9.447,660943,,,
10.094,660958,,,
11.324,660975,,,
12.165,660991,,,
12.682,661008,,,
13.135,661025,,,
12.941,661041,,,
13.329,661058,,,
13.006,661075,,,
13.718,661091,,,
14.3,661108,,,
13.653,661125,,,
13.976,661141,,,
14.235,661158,,,
14.171,661174,,,
13.912,661191,,,
14.818,661208,,,
14.429,661224,,,
14.818,661241,,,
14.171,661258,,,
14.365,661274,,,
14.235,661291,,,
14.235,661308,,,
14.753,661324,,,
13.847,661341,,,
13.782,661357,,,
13.459,661374,,,
13.265,661391,,,
14.041,661407,,,
13.265,661424,,,
13.071,661441,,,
13.394,661457,,,
13.524,661474,,,
13.135,661491,,,
13.782,661507,,,
12.682,661524,,,
13.2,661541,,,
13.2,661557,,,
13.071,661574,,,
12.747,661590,,,
12.294,661607,,,
12.424,661624,,,
11.906,661640,,,
11.647,661657,,,
11.841,661674,,,
11.129,661690,,,
11.453,661707,,,
10.547,661724,,,
11.259,661740,,,
11.324,661757,,,
11.582,661773,,,
7.959,661790,,,
4.141,661806,,,
2.653,661821,,,
2.071,661837,,,
1.747,661853,,,
1.294,661868,,,
2.394,661884,,,
2.006,661899,,,
1.812,661915,,,
1.682,661931,,,
1.747,661946,,,
1.747,661962,,,
1.747,661977,,,
1.812,661993,,,
1.553,662009,,,
1.618,662024,,,
1.618,662040,,,
1.682,662055,,,
1.682,662071,,,
1.747,662087,,,
1.682,662102,,,
1.747,662118,,,
1.682,662133,,,
1.682,662149,,,
1.618,662165,,,
1.618,662180,,,
1.618,662196,,,
1.553,662211,,,
1.553,662227,,,
1.553,662243,,,
1.553,662258,,,
1.553,662274,,,
1.618,662289,,,
1.553,662305,,,
1.553,662321,,,
1.618,662336,,,
1.553,662352,,,
1.553,662367,,,
1.488,662383,,,
1.553,662399,,,
1.488,662414,,,
1.488,662430,,,
1.424,662445,,,
1.424,662461,,,
1.488,662477,,,
1.488,662492,,,
1.424,662508,,,
1.488,662523,,,
1.424,662539,,,
1.488,662555,,,
1.488,662570,,,
1.424,662586,,,
1.424,662601,,,
1.424,662617,,,
1.424,662633,,,
1.424,662648,,,
1.424,662664,,,
1.424,662679,,,
1.424,662695,,,
1.424,662711,,,
1.424,662726,,,
1.424,662742,,,
1.424,662757,,,
1.424,662773,,,
1.359,662789,,,
1.424,662804,,,
1.424,662820,,,
1.424,662835,,,
1.424,662851,,,
1.359,662867,,,
1.424,662882,,,
1.359,662898,,,
1.359,662913,,,
1.359,662929,,,
1.359,662945,,,
1.424,662960,,,
1.359,662976,,,
1.359,662991,,,
1.359,663007,,,
1.359,663023,,,
1.424,663038,,,
1.359,663054,,,
1.359,663069,,,
1.359,663085,,,
1.424,663101,,,
1.359,663116,,,
1.359,663132,,,
1.294,663147,,,
1.359,663163,,,
1.359,663179,,,
1.359,663194,,,
1.359,663210,,,
1.359,663225,,,
1.359,663241,,,
1.359,663257,,,
1.359,663272,,,
1.359,663288,,,
1.359,663303,,,
1.294,663319,,,
1.294,663335,,,
1.359,663350,,,
1.294,663366,,,
1.294,663381,,,
1.359,663397,,,
1.359,663413,,,
1.359,663428,,,
1.359,663444,,,
1.294,663459,,,
1.294,663475,,,
1.359,663491,,,
1.359,663506,,,
1.294,663522,,,
1.359,663537,,,
1.294,663553,,,
1.359,663569,,,
1.294,663584,,,
1.294,663600,,,
1.294,663615,,,
1.359,663631,,,
1.294,663647,,,
1.359,663662,,,
1.294,663678,,,
1.294,663693,,,
1.359,663709,,,
1.294,663725,,,
1.294,663740,,,
1.359,663756,,,
1.359,663771,,,
1.294,663787,,,
1.294,663803,,,
1.294,663818,,,
1.359,663834,,,
1.359,663849,,,
1.359,663865,,,
1.294,663881,,,
1.294,663896,,,
1.294,663912,,,
1.359,663927,,,
1.294,663943,,,
1.294,663959,,,
1.294,663974,,,
1.294,663990,,,
1.294,664005,,,
1.294,664021,,,
1.294,664037,,,
1.294,664052,,,
1.294,664068,,,
1.359,664083,,,
1.294,664099,,,
